Species,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Black-naped Monarch,0.2051282,0.0989011,0.1527778,0.22,0.1388889,0.1894737,0.1904762,0.1818182,0.1960784,0.3246753,0.3636364,0.2916667
Blyth's Paradise-Flycatcher,0.025641,0.0,0.0416667,0.02,0.0138889,0.0105263,0.0,0.0454545,0.0196078,0.0779221,0.0909091,0.0833333
Indian Paradise-Flycatcher,0.0,0.0,0.0,0.02,0.0,0.0105263,0.0,0.0,0.0,0.0,0.0,0.0
Amur/Blyth's/Indian Paradise-Flycatcher,0.0,0.0,0.0,0.0,0.0,0.0210526,0.0,0.0,0.0,0.025974,0.0,0.0138889
Brown Shrike,0.2307692,0.2967033,0.1527778,0.32,0.1944444,0.2526316,0.202381,0.2386364,0.1176471,0.1168831,0.0909091,0.1111111
Long-tailed Shrike,0.1282051,0.1868132,0.1944444,0.26,0.2361111,0.1684211,0.1904762,0.2159091,0.2352941,0.2207792,0.2,0.1944444
Gray-backed Shrike,0.1282051,0.043956,0.125,0.1,0.0972222,0.0842105,0.0238095,0.1136364,0.0392157,0.1558442,0.1454545,0.0555556
shrike sp.,0.0,0.010989,0.0138889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Common Green-Magpie,0.0512821,0.0549451,0.0277778,0.02,0.0416667,0.0526316,0.0119048,0.0454545,0.0392157,0.0909091,0.0,0.0138889
Rufous Treepie,0.3076923,0.3076923,0.1944444,0.28,0.0972222,0.2,0.2619048,0.1590909,0.1960784,0.2597403,0.2,0.1944444
Gray Treepie,0.0769231,0.032967,0.0416667,0.0,0.0138889,0.0210526,0.0119048,0.0340909,0.0196078,0.012987,0.0181818,0.0277778
House Crow,0.0512821,0.0659341,0.0833333,0.06,0.0833333,0.1368421,0.1071429,0.0909091,0.1372549,0.1038961,0.0181818,0.0015
Large-billed Crow,0.2820513,0.3956044,0.375,0.28,0.2361111,0.3789474,0.297619,0.3409091,0.2745098,0.2987013,0.2,0.3472222
crow sp.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gray-headed Canary-Flycatcher,0.0,0.010989,0.0694444,0.22,0.1666667,0.2210526,0.2619048,0.2386364,0.2352941,0.3636364,0.2727273,0.375
Sultan Tit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Asian Tit,0.3846154,0.3626374,0.1111111,0.26,0.1944444,0.1368421,0.1904762,0.2386364,0.1372549,0.2077922,0.1090909,0.2638889
Bengal Bushlark,0.1025641,0.0659341,0.0972222,0.16,0.2222222,0.1263158,0.0595238,0.125,0.1568627,0.0909091,0.1272727,0.0555556
Oriental Skylark,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0138889
Sand Lark,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0196078,0.0,0.0,0.0
lark sp.,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Common Tailorbird,0.5384615,0.5164835,0.4722222,0.38,0.2916667,0.3052632,0.3571429,0.4090909,0.372549,0.4025974,0.3636364,0.4444444
Dark-necked Tailorbird,0.0769231,0.0,0.0277778,0.08,0.0416667,0.0631579,0.0,0.0568182,0.0392157,0.038961,0.1090909,0.0416667
tailorbird sp.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rufescent Prinia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gray-breasted Prinia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0138889
Delicate Prinia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025974,0.0,0.0
Plain Prinia,0.0512821,0.010989,0.0138889,0.0,0.0277778,0.0210526,0.0238095,0.0681818,0.1176471,0.0909091,0.0363636,0.0138889
Zitting Cisticola,0.0512821,0.0659341,0.0555556,0.08,0.1666667,0.1368421,0.0833333,0.0909091,0.0784314,0.0779221,0.0545455,0.0138889
Golden-headed Cisticola,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thick-billed Warbler,0.0512821,0.010989,0.0277778,0.02,0.0138889,0.0315789,0.0238095,0.0340909,0.0588235,0.0779221,0.0545455,0.0138889
Booted Warbler,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025974,0.0,0.0
Sykes's Warbler,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Black-browed Reed Warbler,0.0,0.0,0.0,0.0,0.0277778,0.0,0.0,0.0,0.0196078,0.012987,0.0,0.0
Paddyfield Warbler,0.0512821,0.0,0.0,0.0,0.0416667,0.0105263,0.0119048,0.0227273,0.0196078,0.038961,0.0181818,0.0015
Blyth's Reed Warbler,0.0,0.0,0.0416667,0.02,0.0138889,0.0526316,0.0833333,0.0909091,0.1176471,0.0909091,0.0727273,0.1527778
Large-billed Reed Warbler,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0196078,0.0,0.0,0.0
