Species,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Ashy Woodswallow,0.04,0.040201,0.0443038,0.0337838,0.0258621,0.010101,0.0224719,0.0217391,0.0470588,0.0,0.0547945,0.0445545
Large Woodshrike,0.0,0.0,0.0,0.0067568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Common Woodshrike,0.01,0.040201,0.0443038,0.0067568,0.0,0.040404,0.0224719,0.0072464,0.0,0.015625,0.0136986,0.009901
Common Iora,0.29,0.2613065,0.2405063,0.1689189,0.2068966,0.1111111,0.2247191,0.1666667,0.1294118,0.109375,0.1369863,0.2029703
White-throated Fantail,0.17,0.0954774,0.1265823,0.2027027,0.1551724,0.1010101,0.0224719,0.0869565,0.1176471,0.140625,0.1232877,0.1138614
Black Drongo,0.51,0.5125628,0.5379747,0.4864865,0.4482759,0.4040404,0.5280899,0.4927536,0.4705882,0.515625,0.5479452,0.6237624
Ashy Drongo,0.0,0.0100503,0.0063291,0.0135135,0.0,0.010101,0.0224719,0.0217391,0.0117647,0.0,0.0,0.039604
White-bellied Drongo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bronzed Drongo,0.12,0.1356784,0.1708861,0.0743243,0.112069,0.0606061,0.1573034,0.1014493,0.1294118,0.125,0.0958904,0.0594059
Lesser Racket-tailed Drongo,0.0,0.0,0.0,0.0,0.0086207,0.0,0.0,0.0,0.0,0.0,0.0,0.0049505
Hair-crested Drongo,0.0,0.0,0.0,0.0337838,0.0086207,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Greater Racket-tailed Drongo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
drongo sp.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0049505
Black-naped Monarch,0.0,0.0301508,0.0506329,0.0202703,0.0344828,0.030303,0.0224719,0.0217391,0.0117647,0.015625,0.0,0.019802
Indian Paradise-Flycatcher,0.05,0.0552764,0.0253165,0.0,0.0,0.0,0.0,0.0072464,0.0,0.0,0.0,0.0049505
Amur/Blyth's/Indian Paradise-Flycatcher,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brown Shrike,0.2,0.2261307,0.2531646,0.2432432,0.1724138,0.1313131,0.2359551,0.2028986,0.2352941,0.171875,0.3561644,0.2425743
Bay-backed Shrike,0.0,0.0,0.0063291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0136986,0.029703
Long-tailed Shrike,0.3,0.241206,0.221519,0.2364865,0.1724138,0.1919192,0.3033708,0.3043478,0.2823529,0.34375,0.3424658,0.3366337
Gray-backed Shrike,0.0,0.0100503,0.0063291,0.0135135,0.0172414,0.010101,0.011236,0.0,0.0,0.0,0.0273973,0.0247525
shrike sp.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Common Green-Magpie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rufous Treepie,0.17,0.1658291,0.2088608,0.1959459,0.2413793,0.1010101,0.2247191,0.1376812,0.1411765,0.078125,0.109589,0.1633663
Gray Treepie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
House Crow,0.43,0.4623116,0.4620253,0.4459459,0.4396552,0.4242424,0.4719101,0.4782609,0.4941176,0.390625,0.5205479,0.480198
Large-billed Crow,0.23,0.201005,0.2088608,0.2297297,0.1637931,0.1717172,0.2359551,0.1811594,0.2117647,0.21875,0.2054795,0.3069307
