Species,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
bee-eater sp.,0.0,0.0,0.0,0.0153846,0.0,0.0,0.0,0.0,0.0222222,0.0,0.0,0.0
Common Kingfisher,0.2258065,0.2641509,0.4166667,0.4769231,0.4067797,0.4705882,0.3833333,0.4655172,0.4777778,0.4193548,0.4833333,0.3589744
Blue-eared Kingfisher,0.0,0.0377358,0.0,0.0153846,0.0338983,0.0294118,0.05,0.0517241,0.0777778,0.0215054,0.0166667,0.008547
Brown-winged Kingfisher,0.0,0.0188679,0.0333333,0.1384615,0.2881356,0.1617647,0.2166667,0.1034483,0.3888889,0.2688172,0.2333333,0.2649573
Stork-billed Kingfisher,0.0322581,0.0,0.0166667,0.0461538,0.0169492,0.0147059,0.0015,0.0015,0.0,0.0215054,0.0333333,0.025641
Ruddy Kingfisher,0.0,0.0188679,0.0166667,0.0769231,0.1355932,0.0735294,0.05,0.0517241,0.0888889,0.0537634,0.05,0.042735
White-throated Kingfisher,0.2903226,0.3396226,0.5833333,0.6,0.4745763,0.5588235,0.4833333,0.5517241,0.5333333,0.483871,0.4,0.4786325
Black-capped Kingfisher,0.0,0.0188679,0.0166667,0.0153846,0.220339,0.0735294,0.15,0.0862069,0.3333333,0.2258065,0.2833333,0.3076923
Collared Kingfisher,0.1290323,0.0754717,0.0166667,0.1846154,0.3389831,0.1911765,0.2166667,0.1034483,0.2444444,0.2473118,0.1833333,0.2136752
Pied Kingfisher,0.0322581,0.0188679,0.05,0.0,0.0338983,0.1176471,0.0333333,0.0517241,0.0222222,0.0645161,0.0166667,0.025641
Indian Roller,0.0,0.0,0.0,0.0,0.0,0.0,0.0166667,0.0,0.0,0.0,0.0015,0.0
Indian x Indochinese Roller (hybrid),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Indian/Indochinese Roller,0.0,0.0188679,0.0,0.0,0.0,0.0,0.0,0.0,0.0333333,0.0107527,0.0166667,0.008547
Coppersmith Barbet,0.0,0.0377358,0.05,0.0615385,0.0338983,0.0,0.05,0.0172414,0.0,0.0215054,0.0333333,0.0512821
Blue-eared Barbet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lineated Barbet,0.0,0.0188679,0.0166667,0.0,0.0169492,0.0147059,0.0333333,0.0,0.0111111,0.0,0.0,0.0
Blue-throated Barbet,0.0322581,0.2075472,0.1833333,0.1230769,0.0677966,0.0147059,0.0666667,0.0,0.0111111,0.0537634,0.05,0.042735
Eurasian Wryneck,0.0322581,0.0,0.0,0.0,0.0,0.0,0.0166667,0.0015,0.0,0.0107527,0.0,0.017094
Speckled Piculet,0.0,0.0,0.0166667,0.0153846,0.0169492,0.0588235,0.0166667,0.0,0.0222222,0.0322581,0.0166667,0.017094
White-browed Piculet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0111111,0.0,0.0,0.0
Gray-capped Pygmy Woodpecker,0.0,0.0188679,0.0,0.0153846,0.0169492,0.1029412,0.0333333,0.0344828,0.0444444,0.0430108,0.0666667,0.042735
Fulvous-breasted Woodpecker,0.1290323,0.0377358,0.1666667,0.1538462,0.0677966,0.0882353,0.05,0.0689655,0.1222222,0.0537634,0.1166667,0.0683761
Greater Flameback,0.0645161,0.0377358,0.0333333,0.1076923,0.0508475,0.1176471,0.0833333,0.0172414,0.2222222,0.1397849,0.1166667,0.1367521
Rufous Woodpecker,0.0322581,0.0,0.0166667,0.0153846,0.0338983,0.0294118,0.05,0.0517241,0.0444444,0.0215054,0.0166667,0.0512821
Common Flameback,0.0,0.0,0.0,0.0153846,0.0677966,0.0294118,0.0833333,0.0,0.0444444,0.0107527,0.1166667,0.0512821
Black-rumped Flameback,0.2903226,0.1698113,0.3,0.1538462,0.1355932,0.1470588,0.1666667,0.362069,0.0777778,0.1505376,0.1666667,0.1367521
flameback sp.,0.0,0.0,0.0,0.0153846,0.0169492,0.0,0.0166667,0.0,0.0,0.0215054,0.0166667,0.008547
Lesser Yellownape,0.0322581,0.0188679,0.0,0.0153846,0.0169492,0.0441176,0.0,0.0172414,0.0555556,0.0107527,0.0666667,0.034188
Streak-throated Woodpecker,0.0,0.0377358,0.05,0.0,0.0169492,0.0294118,0.05,0.0172414,0.0222222,0.0752688,0.0666667,0.017094
Streak-breasted Woodpecker,0.0,0.0188679,0.0166667,0.0153846,0.0677966,0.0,0.0333333,0.0172414,0.0444444,0.0107527,0.0333333,0.008547
Gray-headed Woodpecker,0.0322581,0.0188679,0.0,0.0769231,0.0508475,0.0441176,0.0333333,0.0,0.0444444,0.0215054,0.0333333,0.017094
Greater Yellownape,0.0,0.0188679,0.0166667,0.0307692,0.0338983,0.1029412,0.0166667,0.0172414,0.0777778,0.0645161,0.05,0.034188
woodpecker sp.,0.0322581,0.0,0.0,0.0153846,0.0169492,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eurasian Kestrel,0.0,0.0,0.0,0.0,0.0,0.0294118,0.0,0.0689655,0.0111111,0.0107527,0.0,0.017094
Red-necked Falcon,0.0,0.0188679,0.0,0.0,0.0,0.0147059,0.0,0.0,0.0,0.0,0.0,0.0
Amur Falcon,0.0,0.0,0.0,0.0153846,0.0,0.0,0.0166667,0.0172414,0.0222222,0.0107527,0.0,0.0
