Species,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Oriental Bay-Owl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mountain Scops-Owl,0.0434783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Collared Scops-Owl,0.0217391,0.0015,0.0517241,0.0015,0.0015,0.0015,0.0365854,0.0117647,0.008547,0.0,0.03125,0.0326797
Oriental Scops-Owl,0.0217391,0.0089286,0.0015,0.0,0.0,0.04,0.0,0.0117647,0.017094,0.0,0.0,0.0130719
Brown Fish-Owl,0.0217391,0.0178571,0.0,0.0232558,0.0,0.0,0.0121951,0.0,0.017094,0.0131579,0.0,0.0065359
Spot-bellied Eagle-Owl,0.0217391,0.0,0.0,0.0232558,0.0,0.0,0.0,0.0015,0.0,0.0,0.0078125,0.0130719
Asian Barred Owlet,0.0,0.0446429,0.0172414,0.0232558,0.0,0.0015,0.0,0.0235294,0.042735,0.0131579,0.0,0.0326797
Collared Owlet,0.0434783,0.0089286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spotted Owlet,0.1521739,0.0267857,0.0344828,0.0232558,0.0,0.04,0.0243902,0.0117647,0.025641,0.0394737,0.0078125,0.0196078
Short-eared Owl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008547,0.0,0.0,0.0
Brown Boobook,0.0434783,0.0267857,0.0689655,0.0015,0.0232558,0.04,0.0487805,0.0117647,0.025641,0.0015,0.03125,0.0196078
owl sp.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0117647,0.0,0.0,0.0,0.0
Red-headed Trogon,0.0217391,0.0089286,0.0,0.0,0.0,0.0,0.0121951,0.0117647,0.025641,0.0,0.0078125,0.0130719
Eurasian Hoopoe,0.0434783,0.0089286,0.0689655,0.0,0.0,0.04,0.0365854,0.0588235,0.034188,0.0789474,0.0546875,0.0326797
Great Hornbill,0.0,0.0,0.0,0.0,0.0232558,0.0,0.0,0.0,0.0,0.0131579,0.0,0.0
Oriental Pied-Hornbill,0.0434783,0.0714286,0.0015,0.0232558,0.0,0.0,0.0,0.0352941,0.017094,0.0131579,0.0,0.0130719
Blue-bearded Bee-eater,0.0434783,0.0625,0.0172414,0.0,0.0232558,0.04,0.0121951,0.0117647,0.008547,0.0131579,0.0078125,0.0065359
Asian Green Bee-eater,0.1086957,0.1785714,0.2758621,0.2790698,0.2790698,0.08,0.1829268,0.2,0.1367521,0.2105263,0.2421875,0.1830065
Blue-tailed Bee-eater,0.1086957,0.125,0.0344828,0.0232558,0.0,0.0,0.0121951,0.0015,0.008547,0.0,0.0078125,0.0
Chestnut-headed Bee-eater,0.173913,0.2767857,0.1551724,0.2325581,0.2093023,0.16,0.0853659,0.1294118,0.0769231,0.0789474,0.03125,0.0784314
bee-eater sp.,0.0,0.0089286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Common Kingfisher,0.2173913,0.1607143,0.2586207,0.255814,0.255814,0.16,0.1707317,0.3411765,0.2991453,0.2236842,0.296875,0.3267974
Blue-eared Kingfisher,0.0217391,0.0,0.0172414,0.0232558,0.0,0.0,0.0,0.0,0.017094,0.0263158,0.0,0.0261438
Black-backed Dwarf-Kingfisher,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brown-winged Kingfisher,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008547,0.0,0.0,0.0
Stork-billed Kingfisher,0.1086957,0.0803571,0.1034483,0.0697674,0.0465116,0.0015,0.0365854,0.0705882,0.0940171,0.0789474,0.046875,0.0457516
White-throated Kingfisher,0.3478261,0.3392857,0.3448276,0.3488372,0.3255814,0.12,0.304878,0.3176471,0.3076923,0.3684211,0.375,0.2810458
Black-capped Kingfisher,0.0217391,0.0089286,0.0517241,0.0232558,0.0697674,0.0,0.0243902,0.0823529,0.0512821,0.0394737,0.0234375,0.0196078
Collared Kingfisher,0.0217391,0.0267857,0.0344828,0.0465116,0.0465116,0.0015,0.0487805,0.0941176,0.042735,0.1315789,0.046875,0.0718954
Pied Kingfisher,0.0434783,0.0267857,0.0172414,0.0232558,0.0697674,0.08,0.0243902,0.0117647,0.0512821,0.0526316,0.0625,0.0392157
Indian Roller,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0131579,0.0,0.0
Indochinese Roller,0.0652174,0.0,0.0,0.0232558,0.0697674,0.0,0.0487805,0.0,0.0,0.0,0.0,0.0130719
Indian x Indochinese Roller (hybrid),0.0,0.0178571,0.0172414,0.0232558,0.0,0.0,0.0,0.0,0.0015,0.0,0.0,0.0
Indian/Indochinese Roller,0.0015,0.0178571,0.0015,0.0,0.0232558,0.0015,0.0121951,0.0,0.008547,0.0,0.0,0.0065359
Dollarbird,0.0,0.0,0.0172414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coppersmith Barbet,0.0434783,0.0892857,0.0344828,0.0930233,0.0697674,0.0015,0.0487805,0.0235294,0.034188,0.0526316,0.0625,0.0130719
Blue-eared Barbet,0.0217391,0.0178571,0.0,0.0232558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Great Barbet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015625,0.0
Lineated Barbet,0.173913,0.2410714,0.1206897,0.0697674,0.1860465,0.04,0.0609756,0.0941176,0.0769231,0.0526316,0.046875,0.0849673
Blue-throated Barbet,0.0869565,0.1339286,0.0344828,0.0697674,0.0930233,0.0015,0.0609756,0.1411765,0.017094,0.0131579,0.0234375,0.0457516
Eurasian Wryneck,0.0434783,0.0357143,0.0015,0.0232558,0.0232558,0.0015,0.0243902,0.0117647,0.008547,0.0263158,0.0234375,0.0261438
Speckled Piculet,0.0,0.0,0.0,0.0,0.0,0.0,0.0121951,0.0,0.0,0.0,0.0,0.0
White-browed Piculet,0.0217391,0.0267857,0.0,0.0,0.0,0.0,0.0121951,0.0,0.0,0.0,0.0078125,0.0130719
Heart-spotted Woodpecker,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gray-capped Pygmy Woodpecker,0.0217391,0.0,0.0,0.0,0.0,0.0,0.0121951,0.0235294,0.0,0.0,0.0078125,0.0130719
Fulvous-breasted Woodpecker,0.1086957,0.1071429,0.1551724,0.0697674,0.2093023,0.0015,0.1341463,0.0705882,0.0598291,0.1710526,0.15625,0.1176471
Bay Woodpecker,0.0,0.0089286,0.0,0.0,0.0,0.0,0.0121951,0.0,0.0,0.0,0.0,0.0130719
Greater Flameback,0.0,0.1071429,0.0344828,0.0,0.0232558,0.04,0.0,0.0470588,0.0598291,0.0131579,0.0078125,0.0392157
Rufous Woodpecker,0.0434783,0.0357143,0.0344828,0.0,0.0232558,0.0015,0.0,0.0,0.025641,0.0131579,0.0,0.0196078
